checklist_item_id,checklist_item,category,maps_to_standard,standard_edition_year,relevant_clause_or_area,evidence_artifact_required,portability_tier_relevance,required_artifact_kinds
"26","Power intent (or N/A justification)","foundation","IEEE 1801","2024 (published Mar 2025)","UPF 4.0 power intent","power/<core>.upf or N/A note","U2-U4","upf;power-na"
"27","DFT / test access","foundation","IEEE 1149.1","2013 inactive-reserved / legacy hook","JTAG TAP and boundary scan","dft/<core>.ctl, BSDL fragment, or N/A note","U2-U4","dft;jtag-na"
"27","DFT / test access","foundation","IEEE 1500","2022","embedded core test / CTL","dft/<core>.ctl, BSDL fragment, or N/A note","U2-U4","dft;jtag-na"
"28","Coding-style and lint","now","lowRISC Verilog Style Guide","continuous","RTL style",".verible.rules + lint-clean CI","U0-U4","verible-lint;native-lint"
"28","Coding-style and lint","now","Verible","continuous","lint/format",".verible.rules + lint-clean CI","U0-U4","verible-lint;native-lint"
"28","Coding-style and lint","now","IEEE 1800","2023","restricted subset policy",".verible.rules + lint-clean CI","U0-U4","verible-lint;native-lint"
"29","CI, reproducibility, semantic versioning","now","SemVer","2.0.0","MAJOR.MINOR.PATCH",".github/workflows/*.yml, VERSION, CHANGELOG.md","U0-U4","ci"
"29","CI, reproducibility, semantic versioning","now","ISO/IEC/IEEE 29119-2","2021","test process",".github/workflows/*.yml, VERSION, CHANGELOG.md","U0-U4","ci"
"30","Safety hooks (forward-looking)","foundation","ISO 26262","2018","HW/supporting/semiconductor guidance","safety/safety_manual.md placeholder or populated manual","U0-U4","safety-manual"
"30","Safety hooks (forward-looking)","foundation","IEC 61508-2","2010","SIL hardware requirements","safety/safety_manual.md placeholder or populated manual","U0-U4","safety-manual"
"30","Safety hooks (forward-looking)","foundation","DO-254 / FAA AC 20-152A","2000 / 2020","airborne electronic hardware","safety/safety_manual.md placeholder or populated manual","U0-U4","safety-manual"
"31","Security hooks (forward-looking, actionable now)","foundation","MITRE CWE-1194","CWE List v4.20 (30 Apr 2026)","Hardware Design view","security/threat_model.md, security/sa-edi.json, CWE coverage","U0-U4","security-threat-model;sa-edi;cwe-coverage"
"31","Security hooks (forward-looking, actionable now)","foundation","NIST IR 8517","13 Nov 2024","hardware security failure scenarios","security/threat_model.md, security/sa-edi.json, CWE coverage","U0-U4","security-threat-model;sa-edi;cwe-coverage"
"31","Security hooks (forward-looking, actionable now)","foundation","Accellera SA-EDI","1.0 (14 Jul 2021)","IP security annotations","security/threat_model.md, security/sa-edi.json, CWE coverage","U0-U4","security-threat-model;sa-edi;cwe-coverage"
"31","Security hooks (forward-looking, actionable now)","foundation","IEEE P3164","draft / PAR active","future security annotation standard","security/threat_model.md, security/sa-edi.json, CWE coverage","U0-U4","security-threat-model;sa-edi;cwe-coverage"
"31","Security hooks (forward-looking, actionable now)","foundation","FIPS 140-3","2019","crypto modules only","security/threat_model.md, security/sa-edi.json, CWE coverage","U0-U4","security-threat-model;sa-edi;cwe-coverage"
"31","Security hooks (forward-looking, actionable now)","foundation","ISO/IEC 15408","2022","Common Criteria only if evaluated","security/threat_model.md, security/sa-edi.json, CWE coverage","U0-U4","security-threat-model;sa-edi;cwe-coverage"
"32","HBOM / provenance / SBOM-equivalent","now","SPDX Specification","3.0.1","SBOM/HBOM document format","hbom/<core>.spdx.json or CycloneDX","U0-U4","spdx-hbom;cyclonedx-hbom"
"32","HBOM / provenance / SBOM-equivalent","now","SPDX License List","pin at release time","license expression grammar","hbom/<core>.spdx.json or CycloneDX","U0-U4","spdx-hbom;cyclonedx-hbom"
"32","HBOM / provenance / SBOM-equivalent","now","CycloneDX","continuous","alternative HBOM profile","hbom/<core>.spdx.json or CycloneDX","U0-U4","spdx-hbom;cyclonedx-hbom"
